date,x,y,z
2016-09-17T05:25:20.194+02:00,-0.0328979492188,-0.00801086425781,-1.00839233398
2016-09-17T05:25:20.271+02:00,-0.0318756103516,-0.00675964355469,-1.00712585449
2016-09-17T05:25:20.373+02:00,-0.0309753417969,-0.00845336914062,-1.00650024414
2016-09-17T05:25:20.481+02:00,-0.0298614501953,-0.0108032226562,-1.01039123535
2016-09-17T05:25:20.572+02:00,-0.0304107666016,-0.00981140136719,-1.00672912598
2016-09-17T05:25:20.671+02:00,-0.0305786132812,-0.00772094726562,-1.00875854492
2016-09-17T05:25:20.771+02:00,-0.0322875976562,-0.00929260253906,-1.0087890625
2016-09-17T05:25:20.880+02:00,-0.0327911376953,-0.00857543945312,-1.00692749023
2016-09-17T05:25:20.980+02:00,-0.0325775146484,-0.0102844238281,-1.0086517334
2016-09-17T05:25:21.070+02:00,-0.0325012207031,-0.00770568847656,-1.00982666016
2016-09-17T05:25:21.169+02:00,-0.0294189453125,-0.00886535644531,-1.00874328613
2016-09-17T05:25:21.269+02:00,-0.0278778076172,-0.00883483886719,-1.00953674316
2016-09-17T05:25:21.369+02:00,-0.0335693359375,-0.0113830566406,-1.01031494141
2016-09-17T05:25:21.479+02:00,-0.032958984375,-0.00535583496094,-1.00843811035
2016-09-17T05:25:21.569+02:00,-0.0313720703125,-0.00773620605469,-1.00689697266
2016-09-17T05:25:21.668+02:00,-0.0312347412109,-0.00624084472656,-1.0072479248
2016-09-17T05:25:21.768+02:00,-0.0299987792969,-0.00991821289062,-1.00776672363
2016-09-17T05:25:21.868+02:00,-0.0291442871094,-0.00856018066406,-1.0101776123
2016-09-17T05:25:21.977+02:00,-0.0284271240234,-0.00520324707031,-1.00592041016
2016-09-17T05:25:22.067+02:00,-0.0318603515625,-0.00761413574219,-1.01086425781
2016-09-17T05:25:22.167+02:00,-0.0321502685547,-0.00892639160156,-1.01159667969
2016-09-17T05:25:22.269+02:00,-0.0305328369141,-0.00863647460938,-1.01054382324
2016-09-17T05:25:22.376+02:00,-0.0314788818359,-0.00624084472656,-1.01028442383
2016-09-17T05:25:22.466+02:00,-0.0318145751953,-0.0121154785156,-1.00863647461
2016-09-17T05:25:22.566+02:00,-0.0293121337891,-0.00973510742188,-1.00746154785
2016-09-17T05:25:22.666+02:00,-0.0280456542969,-0.00656127929688,-1.009765625
2016-09-17T05:25:22.766+02:00,-0.0288543701172,-0.00718688964844,-1.01119995117
2016-09-17T05:25:22.865+02:00,-0.0309295654297,-0.0100250244141,-1.00779724121
2016-09-17T05:25:22.975+02:00,-0.0327453613281,-0.00923156738281,-1.00946044922
2016-09-17T05:25:23.065+02:00,-0.0322723388672,-0.00987243652344,-1.01100158691
2016-09-17T05:25:23.165+02:00,-0.0319976806641,-0.0102386474609,-1.00903320312
2016-09-17T05:25:23.267+02:00,-0.0299224853516,-0.00971984863281,-1.0075378418
2016-09-17T05:25:23.374+02:00,-0.0299530029297,-0.00996398925781,-1.00886535645
2016-09-17T05:25:23.464+02:00,-0.0303344726562,-0.00799560546875,-1.00856018066
2016-09-17T05:25:23.574+02:00,-0.0317840576172,-0.00624084472656,-1.00704956055
2016-09-17T05:25:23.664+02:00,-0.0341033935547,-0.00801086425781,-1.00630187988
2016-09-17T05:25:23.763+02:00,-0.0314483642578,-0.00813293457031,-1.00831604004
2016-09-17T05:25:23.873+02:00,-0.0311889648438,-0.0103302001953,-1.00845336914
2016-09-17T05:25:23.973+02:00,-0.0290069580078,-0.00851440429688,-1.01448059082
2016-09-17T05:25:24.063+02:00,-0.0292358398438,-0.00860595703125,-1.00897216797
2016-09-17T05:25:24.163+02:00,-0.0290832519531,-0.00770568847656,-1.01396179199
2016-09-17T05:25:24.262+02:00,-0.0328826904297,-0.0121765136719,-1.01722717285
2016-09-17T05:25:24.372+02:00,-0.0311279296875,-0.010009765625,-1.01362609863
2016-09-17T05:25:24.473+02:00,-0.0335540771484,-0.00985717773438,-1.01022338867
2016-09-17T05:25:24.573+02:00,-0.0292053222656,-0.00970458984375,-1.01350402832
2016-09-17T05:25:24.671+02:00,-0.0298004150391,-0.0113983154297,-1.00823974609
2016-09-17T05:25:24.761+02:00,-0.0290222167969,-0.00845336914062,-1.01022338867
2016-09-17T05:25:24.871+02:00,-0.0308227539062,-0.0101776123047,-1.00857543945
2016-09-17T05:25:24.971+02:00,-0.0318298339844,-0.00767517089844,-1.00849914551
2016-09-17T05:25:25.070+02:00,-0.0336303710938,-0.00920104980469,-1.01249694824
2016-09-17T05:25:25.160+02:00,-0.0317687988281,-0.0112152099609,-0.999252319336
2016-09-17T05:25:25.260+02:00,-0.0294647216797,-0.0113525390625,-1.00340270996
2016-09-17T05:25:25.360+02:00,-0.0301208496094,-0.00959777832031,-1.00637817383
2016-09-17T05:25:25.460+02:00,-0.0317993164062,-0.0126800537109,-1.01094055176
2016-09-17T05:25:25.560+02:00,-0.0312652587891,-0.00871276855469,-1.00927734375
2016-09-17T05:25:25.669+02:00,-0.0302886962891,-0.00886535644531,-1.00932312012
2016-09-17T05:25:25.769+02:00,-0.0321197509766,-0.0114288330078,-1.01121520996
2016-09-17T05:25:25.859+02:00,-0.0316009521484,-0.00949096679688,-1.00997924805
2016-09-17T05:25:25.969+02:00,-0.0311126708984,-0.00770568847656,-1.01016235352
2016-09-17T05:25:26.069+02:00,-0.0307159423828,-0.00901794433594,-1.0100402832
2016-09-17T05:25:26.158+02:00,-0.029052734375,-0.0102691650391,-1.00769042969
2016-09-17T05:25:26.258+02:00,-0.0287170410156,-0.00909423828125,-1.00801086426
2016-09-17T05:25:26.368+02:00,-0.0312194824219,-0.00852966308594,-1.00816345215
2016-09-17T05:25:26.457+02:00,-0.0330047607422,-0.00994873046875,-1.00929260254
2016-09-17T05:25:26.557+02:00,-0.0330810546875,-0.00868225097656,-1.00735473633
2016-09-17T05:25:26.667+02:00,-0.0319366455078,-0.00732421875,-1.00993347168
2016-09-17T05:25:26.756+02:00,-0.0299682617188,-0.00738525390625,-1.0101776123
2016-09-17T05:25:26.856+02:00,-0.0322570800781,-0.00874328613281,-1.01116943359
2016-09-17T05:25:26.966+02:00,-0.0309295654297,-0.0098876953125,-1.00978088379
2016-09-17T05:25:27.066+02:00,-0.0321197509766,-0.0116729736328,-1.00967407227
2016-09-17T05:25:27.156+02:00,-0.0324859619141,-0.00881958007812,-1.0093536377
2016-09-17T05:25:27.265+02:00,-0.0325012207031,-0.0111083984375,-1.00845336914
2016-09-17T05:25:27.355+02:00,-0.0316467285156,-0.009033203125,-1.01098632812
2016-09-17T05:25:27.455+02:00,-0.030517578125,-0.00784301757812,-1.00852966309
2016-09-17T05:25:27.555+02:00,-0.0301818847656,-0.00985717773438,-1.01118469238
2016-09-17T05:25:27.655+02:00,-0.0299987792969,-0.00973510742188,-1.01008605957
2016-09-17T05:25:27.754+02:00,-0.031982421875,-0.00860595703125,-1.0092010498
2016-09-17T05:25:27.854+02:00,-0.0323486328125,-0.00883483886719,-1.0094909668
2016-09-17T05:25:27.985+02:00,-0.0325012207031,-0.00984191894531,-1.00898742676
2016-09-17T05:25:28.054+02:00,-0.0322418212891,-0.00837707519531,-1.0092010498
2016-09-17T05:25:28.153+02:00,-0.0300140380859,-0.00932312011719,-1.00862121582
2016-09-17T05:25:28.253+02:00,-0.0310821533203,-0.0101928710938,-1.00964355469
2016-09-17T05:25:28.353+02:00,-0.0295104980469,-0.00949096679688,-1.00819396973
2016-09-17T05:25:28.463+02:00,-0.0321807861328,-0.00685119628906,-1.01016235352
